program,jurisdiction,element,old_status,new_status,scope_version,citation_path,note
snap,us,snap_g12,EXTRACTABLE,ALREADY-HELD,us/guidance/2026-09-13-snap-fns-guidance,us/guidance/usda/fns/snap-bbce-state-chart-2026-06/page-1,June 2026 BBCE states chart (4 pages) is held and selected; check-pattern miss: 915 characters separate 'Broad-based categorical' from 'Alabama' (the regex allows 600)
snap,us-fl,snap_s15,EXTRACTABLE,ALREADY-HELD,us-fl/manual/2026-05-27-fl-ess-manual-r2026-07-15-self-contained,us-fl/manual/dcf/ess-program-policy-manual/appendix-a-1-food-assistance-income-eligibility-standards-and-deductions/page-1,"Appendix A-1: 'Standard Deductions Effective October 1, 2025 1-3 Members $209 4 Members $223 5 Members $261 6+ Members $299'; the row matches the schema regex on re-run with re.I"
snap,us-ga,snap_s05,EXTRACTABLE,ALREADY-HELD,us-ga/manual/2026-09-11-ga-snap-manual-supersede,us-ga/manual/dfcs/snap/3617/block-10,'The LSUA is $358' (Georgia's limited standard utility allowance); the regex expects LUA/BUA/'limited utility allowance'
snap,us-ga,snap_s16,EXTRACTABLE,ALREADY-HELD,us-ga/manual/2026-09-11-ga-snap-manual-supersede,us-ga/manual/dfcs/snap/3617/block-5,'Do not allow more than $744 per month as an excess shelter deduction'; the regex expects cap/maximum/limit within 60 characters before 'shelter'
snap,us-ky,snap_s17,EXTRACTABLE,ALREADY-HELD,us-ky/manual/2026-09-11-ky-snap-manual-supersede,us-ky/manual/dcbs/dfs/volume-ii-snap/page-164,"MS 5200 Income Eligibility Scale effective October 1, 2025 (net, 130%, 165%, 200% by household size); the regex's \$\s?\d{3} fails on amounts with thousands separators ($1,305)"
snap,us-ky,snap_s22,EXTRACTABLE,EXTRACTABLE,,,"Volume II carries no vehicle-resource policy (MS 5000 Resource Maximums; the five 'vehicle' mentions are mileage, medical and DSNAP items; ECE households have no resource test); carrying family: 921 KAR 3:020 (Kentucky SNAP financial-requirements regulation, apps.legislature.ky.gov) or the OMTL policy-update volumes; not taken this pass"
snap,us-ma,snap_s05,EXTRACTABLE,ALREADY-HELD,us-ma/guidance/2026-08-03-ma-dta-snap-cola-official-source-recovery,us-ma/guidance/dta/policy-online/snap-cola/2025-10-01/block-11,'Non-heating SUA increase to $556'; the regex expects 'non-heating utility allowance'. Also in the new us-ma/guidance/2026-09-15-snap-eligibility-charts at .../eligibility-charts/fy2026/standard-utility-allowances/page-1 (Nonheating SUA $556)
snap,us-ma,snap_s17,EXTRACTABLE,PRESENT,us-ma/guidance/2026-09-15-snap-eligibility-charts,us-ma/guidance/dta/eligibility-charts/fy2026/gross-income-standard-130/page-1,"new scope: DTA eligibility charts effective 10/1/2025: 130% gross (106 CMR 364.950), 100% net (.../net-income-standards, 364.970), 165% elderly/disabled (364.975) and 200% categorical eligibility standards effective 02/01/2026 (364.976); not in the regulations, COLA or issuance-table scopes"
snap,us-ma,snap_s18,EXTRACTABLE,ALREADY-HELD,us-ma/guidance/2026-09-14-snap-fy2026-state-transmittal,us-ma/guidance/dta/snap-issuance-tables/fy2026/households-1-10/page-1,"FNS 'Basis of Coupon / EBT Issuance' table for October 1, 2025 (net income $0 row = maximum allotments $298/$546/...); the regex alternative 'basis of (coupon|EBT) issuance' misses 'Coupon / EBT'. Also the new us-ma/guidance/2026-09-15-snap-eligibility-charts .../eligibility-charts/fy2026/maximum-benefit-levels/page-1"
snap,us-ma,snap_s61,EXTRACTABLE,EXTRACTABLE,,,"no lottery/gambling text in any MA scope (regulations union, COLA notice, issuance tables, eligibility charts); carrying family: DTA Online Guide (mass.gov/info-details/the-department-of-transitional-assistance-online-guide, the follow-on family the completion queue names); not taken this pass"
snap,us-mi,snap_s04,EXTRACTABLE,ALREADY-HELD,us-mi/manual/2026-09-11-mi-snap-manual-supersede,us-mi/manual/mdhhs/rft/255/page-1,"RFT 255 Food Assistance Standards effective October 1, 2025: 'Heat and utility $682.00'; the regex expects 'heating/cooling/standard utility allowance|standard' or SUA before the amount"
snap,us-mi,snap_s05,EXTRACTABLE,ALREADY-HELD,us-mi/manual/2026-09-11-mi-snap-manual-supersede,us-mi/manual/mdhhs/rft/255/page-1,"RFT 255: 'Non-heat electric $181.00, Water and/or sewer $119.00, Telephone $31.00'; the regex expects 'non-heating utility allowance' or LUA/BUA"
snap,us-mi,snap_s17,EXTRACTABLE,ALREADY-HELD,us-mi/manual/2026-09-11-mi-snap-manual-supersede,us-mi/manual/mdhhs/rft/250/page-1,"RFT 250 FAP Income Limits effective October 1, 2025 (130%/100%/165%/200%/simplified-reporting columns by group size); thousands-separator miss ($1,696)"
snap,us-nh,snap_s05,EXTRACTABLE,ALREADY-HELD,us-nh/manual/2026-09-10-snap-state-manual-completion,us-nh/manual/dhhs/fsm/601-table-i-snap-deductions-fsm/block-1,"Table I (SR 25-32, 10/25): 'Utilities-Only $373 Electric-Only $217 Telephone-Only $39'; also us-nh/manual/2026-09-14-snap-fy2026-state-transmittal .../dhhs/sr/25-32/block-2"
snap,us-nh,snap_s15,EXTRACTABLE,ALREADY-HELD,us-nh/manual/2026-09-10-snap-state-manual-completion,us-nh/manual/dhhs/fsm/601-table-i-snap-deductions-fsm/block-1,Table I: 'Household Size Standard Deduction Amount 1-3 $209 4 $223 5 $261 6+ $299'; matches the schema regex on re-run
snap,us-nh,snap_s16,EXTRACTABLE,ALREADY-HELD,us-nh/manual/2026-09-10-snap-state-manual-completion,us-nh/manual/dhhs/fsm/601-table-i-snap-deductions-fsm/block-1,Table I: 'Excess Shelter Deduction $744'; SR 25-32 block-2 'increased from $712 to $744'
snap,us-nh,snap_s18,EXTRACTABLE,ALREADY-HELD,us-nh/manual/2026-09-10-snap-state-manual-completion,us-nh/manual/dhhs/fsm/601-table-f-maximum-snap-allotments-fsm/block-1,Table F (SR 25-32): 'Maximum SNAP Allotment 1 $298 2 $546 ...'; the regex expects 'maximum (monthly) allotment' without 'SNAP' between
snap,us-nm,snap_s32,EXTRACTABLE,ABSENT,,,"hca.nm.gov ISD page read 2026-09-15: it links a 'New Mexico Verification Plan template (Nov 2018)' (one 272.2(d) attachment) and the Medicaid state plans; the SNAP State Plan of Operation and its option attachments are not posted, and FNS posts none"
snap,us-nc,snap_s15,EXTRACTABLE,EXTRACTABLE,,,FNS 340.03 (fns-340-deductions/page-1) says 'See DSS-8560 Caseworker Desk Reference for current standard deduction amounts'; the DSS-8560 form is not in the corpus (also cited at fns-170-notices/page-7); carrying family: NC DHHS Social Services forms (policies.ncdhhs.gov/divisional-n-z/social-services/ss-forms/forms-in-english/); not taken this pass
snap,us-nc,snap_s16,EXTRACTABLE,ALREADY-HELD,us-nc/manual/2026-09-11-nc-snap-manual-supersede,us-nc/manual/dhhs/fns/fns-360-determining-benefit-levels/page-2,'The maximum excess deduction for FNS units without a specified person is $744 each month'; the regex expects 'shelter' between 'maximum' and the amount
