program,jurisdiction,element,level,family,note
snap,us,snap_g12,federal_guidance,fns_guidance,"no selected federal scope carries it (regex 'broad.based categorical.{0,600}(Alabama|Alaska|Arizona)' over 24 federal scopes); publisher lists it: FNS BBCE chart fns.usda.gov/snap/broad-based-categorical-eligibility"
snap,us-fl,snap_s15,state,state_table_or_transmittal,"searched 1417 provisions of 5 SNAP scope(s) ['2026-05-27-fl-ess-manual-r2026-07-15-self-contained', '2026-07-13-recovery', '2026-09-13-snap-et-state-plan', '2026-05-29-r2026-07-15-self-contained', '2026-07-13-recovery'] for regex 'standard deduction[^.]{0,160}\\$\\s?\\d{3}\\b': no match; publisher lists an untaken table/transmittal/directive family that may carry it: ess_summary_of_changes_quarter"
snap,us-ga,snap_s05,state,state_manual_or_regulation,"searched 1328 provisions of 3 SNAP scope(s) ['2026-07-13-recovery-r2026-07-17-dedup-r2026-09-11-snap-supersede-dedup', '2026-09-11-ga-snap-manual-supersede', '2026-09-13-snap-et-state-plan'] for regex '(limited|basic|non.heating|nonheating) utility (allowance|standard)|\\bLUA\\b|\\bBUA\\b|\\bNHSUA\\b|non.heating standard': no match; publisher lists an untaken table/transmittal/directive family tha"
snap,us-ga,snap_s16,state,state_table_or_transmittal,"searched 1328 provisions of 3 SNAP scope(s) ['2026-07-13-recovery-r2026-07-17-dedup-r2026-09-11-snap-supersede-dedup', '2026-09-11-ga-snap-manual-supersede', '2026-09-13-snap-et-state-plan'] for regex '(maximum|cap(ped)?|limit(ed)?)[^.]{0,60}(excess )?shelter (deduction|expense|cost)s?[^.]{0,120}\\$\\s?\\d{3}|(excess )?shelter (deduction|expense|cost)s?[^.]{0,80}(cap|maximum|limit)[^.]{0,120}\\$\\"
snap,us-ky,snap_s17,state,state_table_or_transmittal,"searched 805 provisions of 3 SNAP scope(s) ['2026-09-10-snap-state-manual-completion', '2026-09-11-ky-snap-manual-supersede', '2026-09-13-snap-et-state-plan'] for regex '(gross|net) (monthly )?income (limit|standard|test|eligibility)s?[^.]{0,300}\\$\\s?\\d{3}|income eligibility standards?[^.]{0,200}\\$\\s?\\d{3}|130\\s?(%|percent)[^.]{0,200}\\$\\s?\\d{3}|maximum gross (monthly )?income[^.]{0,120}\"
snap,us-ky,snap_s22,state,state_manual_or_regulation,"searched 805 provisions of 3 SNAP scope(s) ['2026-09-10-snap-state-manual-completion', '2026-09-11-ky-snap-manual-supersede', '2026-09-13-snap-et-state-plan'] for regex 'vehicle[^.]{0,150}(exclu|fair market|equity|countable|resource)|(licensed|motor) vehicle': no match; publisher lists an untaken table/transmittal/directive family that may carry it: omtl_cover_letter_and_policy_update_volume_pdf 2"
snap,us-ma,snap_s05,state,state_manual_or_regulation,"searched 831 provisions of 4 SNAP scope(s) ['2026-08-03-ma-dta-snap-cola-official-source-recovery', '2026-09-14-snap-fy2026-state-transmittal', '2026-09-13-snap-et-state-plan', '2026-07-24-ma-dta-regulations-snap-current-union'] for regex '(limited|basic|non.heating|nonheating) utility (allowance|standard)|\\bLUA\\b|\\bBUA\\b|\\bNHSUA\\b|non.heating standard': no match; publisher lists an untaken "
snap,us-ma,snap_s17,state,state_table_or_transmittal,"searched 831 provisions of 4 SNAP scope(s) ['2026-08-03-ma-dta-snap-cola-official-source-recovery', '2026-09-14-snap-fy2026-state-transmittal', '2026-09-13-snap-et-state-plan', '2026-07-24-ma-dta-regulations-snap-current-union'] for regex '(gross|net) (monthly )?income (limit|standard|test|eligibility)s?[^.]{0,300}\\$\\s?\\d{3}|income eligibility standards?[^.]{0,200}\\$\\s?\\d{3}|130\\s?(%|percen"
snap,us-ma,snap_s18,state,state_table_or_transmittal,"searched 831 provisions of 4 SNAP scope(s) ['2026-08-03-ma-dta-snap-cola-official-source-recovery', '2026-09-14-snap-fy2026-state-transmittal', '2026-09-13-snap-et-state-plan', '2026-07-24-ma-dta-regulations-snap-current-union'] for regex 'maximum (monthly )?(allotment|benefit)s?[^.]{0,200}\\$\\s?\\d{3}|thrifty food plan[^.]{0,120}\\$\\s?\\d{3}|(allotment|basis of issuance|benefit issuance) (table"
snap,us-ma,snap_s61,state,state_manual_or_regulation,"searched 831 provisions of 4 SNAP scope(s) ['2026-08-03-ma-dta-snap-cola-official-source-recovery', '2026-09-14-snap-fy2026-state-transmittal', '2026-09-13-snap-et-state-plan', '2026-07-24-ma-dta-regulations-snap-current-union'] for regex 'lottery|gambling': no match; publisher lists an untaken table/transmittal/directive family that may carry it: MA DTA Online Guide (follow-on family named in com"
