program,jurisdiction,element,old_status,new_status,scope_version,citation_path,note
ccdf,us,ccdf-f-usc-1,EXTRACTABLE,ALREADY-HELD,us/statute/2026-09-13-ccdf-statute-ccdbg-title-42,us/statute/42/9857,"already held: the 2026-09-13 federal statute layer took every section of 42 U.S.C. chapter 105 subchapter II-B (9857, 9858, 9858a-9858r; 543 rows) and the scope is in the released us-rulespec-2026-09-14-wave4-r2-union selector; the ccdf-schema.yaml family status ('citation_path scan 2026-09-12: 0 rows') predates that scope. Not re-extracted."
ccdf,us,ccdf-f-usc-2,EXTRACTABLE,ALREADY-HELD,us/statute/2026-09-13-ccdf-statute-ccdbg-title-42,us/statute/42/9858,"already held: the 2026-09-13 federal statute layer took every section of 42 U.S.C. chapter 105 subchapter II-B (9857, 9858, 9858a-9858r; 543 rows) and the scope is in the released us-rulespec-2026-09-14-wave4-r2-union selector; the ccdf-schema.yaml family status ('citation_path scan 2026-09-12: 0 rows') predates that scope. Not re-extracted."
ccdf,us,ccdf-f-usc-3,EXTRACTABLE,ALREADY-HELD,us/statute/2026-09-13-ccdf-statute-ccdbg-title-42,us/statute/42/9858a,"already held: the 2026-09-13 federal statute layer took every section of 42 U.S.C. chapter 105 subchapter II-B (9857, 9858, 9858a-9858r; 543 rows) and the scope is in the released us-rulespec-2026-09-14-wave4-r2-union selector; the ccdf-schema.yaml family status ('citation_path scan 2026-09-12: 0 rows') predates that scope. Not re-extracted."
ccdf,us,ccdf-f-usc-4,EXTRACTABLE,ALREADY-HELD,us/statute/2026-09-13-ccdf-statute-ccdbg-title-42,us/statute/42/9858c,"already held: the 2026-09-13 federal statute layer took every section of 42 U.S.C. chapter 105 subchapter II-B (9857, 9858, 9858a-9858r; 543 rows) and the scope is in the released us-rulespec-2026-09-14-wave4-r2-union selector; the ccdf-schema.yaml family status ('citation_path scan 2026-09-12: 0 rows') predates that scope. Not re-extracted."
ccdf,us,ccdf-f-usc-5,EXTRACTABLE,ALREADY-HELD,us/statute/2026-09-13-ccdf-statute-ccdbg-title-42,us/statute/42/9858d,"already held: the 2026-09-13 federal statute layer took every section of 42 U.S.C. chapter 105 subchapter II-B (9857, 9858, 9858a-9858r; 543 rows) and the scope is in the released us-rulespec-2026-09-14-wave4-r2-union selector; the ccdf-schema.yaml family status ('citation_path scan 2026-09-12: 0 rows') predates that scope. Not re-extracted."
ccdf,us,ccdf-f-usc-6,EXTRACTABLE,ALREADY-HELD,us/statute/2026-09-13-ccdf-statute-ccdbg-title-42,us/statute/42/9858n,"already held: the 2026-09-13 federal statute layer took every section of 42 U.S.C. chapter 105 subchapter II-B (9857, 9858, 9858a-9858r; 543 rows) and the scope is in the released us-rulespec-2026-09-14-wave4-r2-union selector; the ccdf-schema.yaml family status ('citation_path scan 2026-09-12: 0 rows') predates that scope. Not re-extracted."
ccdf,us,ccdf-f-usc-7,EXTRACTABLE,ALREADY-HELD,us/statute/2026-09-13-ccdf-statute-ccdbg-title-42,us/statute/42/9858o,"already held: the 2026-09-13 federal statute layer took every section of 42 U.S.C. chapter 105 subchapter II-B (9857, 9858, 9858a-9858r; 543 rows) and the scope is in the released us-rulespec-2026-09-14-wave4-r2-union selector; the ccdf-schema.yaml family status ('citation_path scan 2026-09-12: 0 rows') predates that scope. Not re-extracted."
tanf,us,tanf-f-usc-614,EXTRACTABLE,ALREADY-HELD,us/statute/2026-09-13-tanf-statute-part-a-title-42,us/statute/42/614,"already held: 42 U.S.C. 614 was repealed by Pub. L. 113-235 div. G title II sec. 228(f) (Dec. 16, 2014); the OLRC publishes only the repealed heading, which the 2026-09-13 TANF statute scope carries as a heading-only row (0 body chars). Nothing further to extract."
tanf,us-az,tanf-s02,EXTRACTABLE,OUTREACH,,,"dbmefaapolicy.azdes.gov probed once with the plain corpus client 2026-09-15T00:01Z: HTTP 403, cf-mitigated: challenge (Cloudflare 'Just a moment') on / and /FAA5/baggage/; the durable block of 2026-09-13/14 persists; not worked around."
tanf,us-az,tanf-s05,EXTRACTABLE,OUTREACH,,,"dbmefaapolicy.azdes.gov probed once with the plain corpus client 2026-09-15T00:01Z: HTTP 403, cf-mitigated: challenge (Cloudflare 'Just a moment') on / and /FAA5/baggage/; the durable block of 2026-09-13/14 persists; not worked around."
