program,jurisdiction,element,old_status,new_status,scope_version,citation_path,note
medicaid,us-ak,M-435-218,REVIEW,PRESENT,us-ak/policy/2026-09-13-medicaid-state-plan,us-ak/policy/cms/medicaid-state-plan/spa/ak-24-0001/approval-document/page-4,read: state-plan page names the 435.218 reviewable unit (SPA adopting the group / election list); radio glyphs partly lost to OCR
medicaid,us-de,M-435-218,REVIEW,ABSENT-IN-CITED,us-de/manual/2026-09-10-medicaid-state-eligibility-manual,us-de/manual/dss/medicaid/dssm-15000/page-6,"read: hit is the 435.118 children income limit, the 5% disregard example or the 2012 spend-down text, not the 435.218 group"
medicaid,us-ky,M-435-218,REVIEW,ABSENT-IN-CITED,us-ky/manual/2026-09-10-medicaid-state-eligibility-manual,us-ky/manual/dcbs/medicaid/volume-ivb/page-107,"read: hit is the 435.118 children income limit, the 5% disregard example or the 2012 spend-down text, not the 435.218 group"
medicaid,us-ms,M-435-218,REVIEW,ABSENT-IN-CITED,us-ms/manual/2026-09-10-chip-state-eligibility-manual,us-ms/manual/dom/chip/epm-chapter-101/101.02.04,"read: hit is the 435.118 children income limit, the 5% disregard example or the 2012 spend-down text, not the 435.218 group"
medicaid,us-ny,M-435-218,REVIEW,ABSENT-IN-CITED,us-ny/manual/2026-09-10-medicaid-state-eligibility-manual,us-ny/manual/doh/medicaid/income/page-67,"read: hit is the 435.118 children income limit, the 5% disregard example or the 2012 spend-down text, not the 435.218 group"
medicaid,us-tn,M-435-218,REVIEW,PRESENT,us-tn/policy/2026-09-13-medicaid-state-plan,us-tn/policy/cms/medicaid-state-plan/spa/tn-25-0007/approval-document/page-27,read: state-plan page names the 435.218 reviewable unit (SPA adopting the group / election list); radio glyphs partly lost to OCR
medicaid,all,M-435-218,REVIEW,REVIEW,,,"element verdict after reading 6 states (2 carry it; us-ak us-de us-ky us-ms us-ny us-tn): mixed 2/6: the manual hits are the children's 133% income limit (435.118) or the 5% disregard; the state-plan hits are the MACPro package header / ""Eligibility Groups - Options for Coverage"" list. Carrying page: the MACPro reviewable-unit page ""Individuals above 133% FPL under Age 65"" (42 CFR 435.218 ... The state elects), held in 33 states' 2026-09-13-medicaid-state-plan scopes; stronger pattern in state-plan scopes: 42 CFR 435\.218.{0,400}(elects|Yes|No)"
medicaid,us-ak,M-435-220,REVIEW,ABSENT-IN-CITED,us-ak/manual/2026-09-10-chip-state-eligibility-manual,us-ak/manual/dpa/magi-medicaid/816-1-magi-category-eligibility-factors/block-1,"read: MACPro eligibility-group summary list (checkbox glyphs lost) or the mandatory parent/caretaker rule, not the optional 435.220 election"
medicaid,us-de,M-435-220,REVIEW,ABSENT-IN-CITED,us-de/policy/2026-09-13-medicaid-state-plan,us-de/policy/cms/medicaid-state-plan/spa/de-25-0009/approval-document/page-8,"read: MACPro eligibility-group summary list (checkbox glyphs lost) or the mandatory parent/caretaker rule, not the optional 435.220 election"
medicaid,us-ky,M-435-220,REVIEW,ABSENT-IN-CITED,us-ky/policy/2026-09-13-medicaid-state-plan,us-ky/policy/cms/medicaid-state-plan/spa/ky-25-0001/approval-document/page-45,"read: MACPro eligibility-group summary list (checkbox glyphs lost) or the mandatory parent/caretaker rule, not the optional 435.220 election"
medicaid,us-ms,M-435-220,REVIEW,PRESENT,us-ms/policy/2026-09-13-medicaid-state-plan,us-ms/policy/cms/medicaid-state-plan/spa/ms-13-0019-mm1/approval-document/page-25,read: MACPro reviewable-unit page for 42 CFR 435.220 with a legible election
medicaid,us-ny,M-435-220,REVIEW,ABSENT-IN-CITED,us-ny/policy/2026-09-13-medicaid-state-plan,us-ny/policy/cms/medicaid-state-plan/spa/ny-25-0026/approval-document/page-11,"read: MACPro eligibility-group summary list (checkbox glyphs lost) or the mandatory parent/caretaker rule, not the optional 435.220 election"
medicaid,us-tn,M-435-220,REVIEW,ABSENT-IN-CITED,us-tn/policy/2026-09-13-medicaid-state-plan,us-tn/policy/cms/medicaid-state-plan/spa/tn-25-0007/approval-document/page-27,"read: MACPro eligibility-group summary list (checkbox glyphs lost) or the mandatory parent/caretaker rule, not the optional 435.220 election"
medicaid,all,M-435-220,REVIEW,ABSENT-IN-CITED,,,"element verdict after reading 6 states (1 carry it; us-ak us-de us-ky us-ms us-ny us-tn): ABSENT-IN-CITED 1/6: only the MACPro RU page ""42 CFR 435.220 Optional Coverage of Parents and Other Caretaker Relatives - The state elects ... Yes/No"" (MS) carries the election; the summary lists lose their checkboxes to OCR and the AK manual hit is the 1931/expansion rule. Carrying family: the state plan MACPro election page (held for 35 states); pattern 42 CFR 435\.220.{0,300}elects"
