jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note,element_label,rulespec_encoded
us,F001,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/1,yes (irs/income/bracket),"section body (36062 chars, heading 'Tax imposed', expression_date 2026-07-13) carries the fact: 'he excess over $400,000. | | Over $600,000 | $161,379, plus 37% of the excess over $600,000. | (B) Heads of households The'; inherited by all states","1(a)-(d),(i),(j): ordinary income rate schedule structure (10/12/22/24/32/35/37, OBBBA permanent)",yes
us,F002,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/1,yes (irs/income/bracket),"section body (36062 chars, heading 'Tax imposed', expression_date 2026-07-13) carries the fact: 'calendar year is the percentage (if any) by which— (i) the C-CPI-U for the preceding calendar year, exceeds (ii) the CPI for c'; inherited by all states","1(f): inflation adjustment method (C-CPI-U, base years, rounding)",yes
us,F003,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/1,no,"section body (36062 chars, heading 'Tax imposed', expression_date 2026-07-13) carries the fact: 'the amounts determined under subparagraph (A). (g) Certain unearned income of children taxed as if parent’s income (1) In general In t'; inherited by all states",1(g): kiddie tax (net unearned income of a child taxed at parents' rate),yes
us,F004,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/1,yes (irs/capital_gains),"section body (36062 chars, heading 'Tax imposed', expression_date 2026-07-13) carries the fact: 'lus the net capital gain, over (II) taxable income; and (F) 28 percent of the amount of taxable income in excess of the sum of the'; inherited by all states","1(h): capital gains and qualified dividend rates (0/15/20, 25 unrecaptured 1250, 28 collectibles) and breakpoints",yes
us,F005,federal,IRS forms and instructions,PRESENT,2026-09-10-tax-irs-forms-ty2025,us/form/irs/ty2025/i1040gi/block-152,yes (irs/income/bracket),"37% single threshold $626,350: '$197,300 but not over $250,525 $ × 32% (0.32) $ $ 22,937.00 $ Over $250,525 but not over $626,350 $ × 35% (0.35) $ $ 30,452.75 $ Over $626,3' at us/form/irs/ty2025/i1040gi/block-152 (2026-09-10-tax-irs-forms-ty2025)",TY2025 bracket dollar thresholds (as printed in the 2025 Form 1040 instructions tax rate schedules),no
us,F006,federal,revenue procedure,PRESENT,2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained,us/guidance/irs/rev-proc-2025-32/page-11,yes (irs/income/bracket),"37% single threshold $640,600: 'over $256,200 $39,207 plus 32% of the excess over $201,750 Over $256,200 but not over $640,600 $56,631 plus 35% of the excess over $256,200 ' at us/guidance/irs/rev-proc-2025-32/page-11 (2026-05-02-irs-rev-proc-2025-32-r2026-07-15-self-contained)",TY2026 bracket dollar thresholds (Rev. Proc. 2025-32 sec. 3.01),yes (rev-proc-2025-32 policy)
us,F007,federal,federal statute,EXTRACTABLE,,,no,26 U.S.C. 3 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section,3: tax table for individuals (statute) and the TY2025 tax table as printed,no
us,F008,federal,IRS forms and instructions,PRESENT,2026-09-10-tax-irs-forms-ty2025,us/form/irs/ty2025/i1040gi/block-99,yes (irs/capital_gains),"0% breakpoint $48,350: '3 4. _____ 5. Subtract line 4 from line 1. If zero or less, enter -0- 5. _____ 6. Enter: $48,350 if single or married filing separately, $96' at us/form/irs/ty2025/i1040gi/block-99 (2026-09-10-tax-irs-forms-ty2025)","TY2025 capital-gain rate breakpoints ($48,350 single 0% ceiling) as printed",no
us,F009,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/2,yes (irs/income/bracket),"section body (5066 chars, heading 'Definitions and special rules', expression_date 2026-07-13) carries the fact: '(a) Definition of surviving spouse (1) In general For purposes of section 1, the term “survivi'; inherited by all states",2: surviving spouse and head of household definitions,yes
us,F010,federal,federal statute,PRESENT,2026-07-13-recovery-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/26/21,yes (irs/credits/cdcc),"section body (12744 chars, heading 'Expenses for household and dependent care services', expression_date 2026-07-13) carries the fact: 'en into account under subsection (a) shall not exceed— (1) $3,000 if there is 1 qualifying individual with respect to the tax'; inherited by all states","21: child and dependent care credit (35%->20% rate, $3,000/$6,000 expense limits, earned income limit)",yes
