program,jurisdiction,element,level,family,note
ssi,us,SSI-F-CFR416-APPK,federal,regulation,"eCFR structure lists 'Appendix to Subpart K of Part 416'; not taken (adapter limitation, run note 2026-09-11)"
ssi,us-ak,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-al,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ar,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-az,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ca,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-co,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ct,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-dc,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-de,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-fl,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ga,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-hi,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ia,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-id,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-il,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-in,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ks,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ky,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-la,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ma,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-md,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-me,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-mi,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-mn,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-mo,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ms,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-mt,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-nc,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-nd,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ne,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-nh,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-nj,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-nm,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-nv,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ny,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-oh,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ok,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-or,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-pa,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ri,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-sc,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-sd,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-tn,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-tx,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-ut,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-va,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-vt,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-wa,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-wi,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-wv,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us-wy,SSI-F-CFR416-APPK,federal,regulation,inherited from federal
ssi,us,SSI-F-POMS-SI-00529,federal,manual,"listed on https://secure.ssa.gov/apps10/poms.nsf/subchapterlist!openview&restricttocategory=05005 (1 sections); not taken (run note 2026-09-10-ssi-poms-si, judgment 1)"
ssi,us-ak,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-al,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ar,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-az,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ca,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-co,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ct,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-dc,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-de,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-fl,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ga,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-hi,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ia,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-id,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-il,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-in,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ks,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ky,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-la,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ma,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-md,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-me,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-mi,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-mn,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-mo,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ms,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-mt,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-nc,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-nd,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ne,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-nh,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-nj,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-nm,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-nv,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ny,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-oh,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ok,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-or,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-pa,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ri,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-sc,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-sd,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-tn,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-tx,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-ut,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-va,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-vt,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-wa,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-wi,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-wv,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-wy,SSI-F-POMS-SI-00529,federal,manual,inherited from federal
ssi,us-or,SSI-ST-2,state,state statute/regulation,"OAR chapter 461 (OSIP, secure.sos.state.or.us, HTTP 200 on 2026-09-10) is the adopted-rule family, not taken"
ssi,us-or,SSI-ST-4,state,state regulation/manual,OAR 461-155-0250 Income and Payment Standard (cited on OPEN page 510) is on the Secretary of State OARD (HTTP 200 on 2026-09-10) and not taken
ssi,us-or,SSI-ST-5,state,state regulation/manual,OAR 461-160-0550 income deductions and 461-160-0780 adjusted income (cited on OPEN pages 269 and 510) not taken
ssi,us-ut,SSI-ST-2,state,state statute/regulation,Utah Admin. Code R414-306-6 (adminrules.utah.gov) named in the queue and not taken
ssi,us-va,SSI-ST-2,state,state statute/regulation,"22VAC30-80 Auxiliary Grants Program (law.lis.virginia.gov, 12 sections) inventoried and not taken"
ssi,us-wi,SSI-ST-2,state,state statute/regulation,Wis. Stat. 49.77 (docs.legis.wisconsin.gov) is the authority; no admin-rule chapter exists (queue); statute not taken
liheap,us,LIHEAP-F-CFR96-96-80,federal,regulation,"no us/regulation/45/96/80 row in the held 2026-09-13 part 96 scope (its subpart H holds 96.81, 96.82, 96.83, 96.84, 96.85, 96.86, 96.88, 96.89); eCFR Versioner API (same publisher as the 2026-09-11 part 98/436/416 scopes; adapter now sends Accept-Encoding)"
liheap,us-ak,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-al,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ar,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-az,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ca,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-co,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ct,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-dc,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-de,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-fl,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ga,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-hi,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ia,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-id,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-il,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-in,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ks,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ky,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-la,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ma,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-md,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-me,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-mi,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-mn,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-mo,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ms,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-mt,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-nc,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-nd,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ne,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-nh,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-nj,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-nm,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-nv,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ny,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-oh,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ok,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-or,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-pa,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ri,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-sc,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-sd,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-tn,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-tx,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-ut,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-va,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-vt,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-wa,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-wi,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-wv,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us-wy,LIHEAP-F-CFR96-96-80,federal,regulation,inherited from federal
liheap,us,LIHEAP-F-CFR96-96-87,federal,regulation,"no us/regulation/45/96/87 row in the held 2026-09-13 part 96 scope (its subpart H holds 96.81, 96.82, 96.83, 96.84, 96.85, 96.86, 96.88, 96.89); eCFR Versioner API (same publisher as the 2026-09-11 part 98/436/416 scopes; adapter now sends Accept-Encoding)"
liheap,us-ak,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-al,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ar,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-az,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ca,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-co,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ct,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-dc,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-de,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-fl,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ga,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-hi,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ia,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-id,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-il,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-in,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ks,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ky,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-la,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ma,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-md,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-me,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-mi,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-mn,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-mo,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ms,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-mt,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-nc,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-nd,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ne,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-nh,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-nj,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-nm,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-nv,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ny,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-oh,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ok,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-or,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-pa,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ri,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-sc,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-sd,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-tn,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-tx,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-ut,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-va,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-vt,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-wa,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-wi,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-wv,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us-wy,LIHEAP-F-CFR96-96-87,federal,regulation,inherited from federal
liheap,us,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,"Model Plan form and instructions not in the corpus (only LIHEAP IM 2026-01 is held, in the annual-figures scope); ACF OCS LIHEAP policy-guidance index"
liheap,us-ak,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-al,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ar,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-az,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ca,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-co,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ct,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-dc,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-de,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-fl,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ga,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-hi,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ia,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-id,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-il,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-in,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ks,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ky,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-la,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ma,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-md,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-me,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-mi,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-mn,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-mo,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ms,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-mt,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-nc,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-nd,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ne,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-nh,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-nj,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-nm,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-nv,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ny,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-oh,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ok,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-or,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-pa,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ri,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-sc,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-sd,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-tn,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-tx,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ut,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-va,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-vt,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-wa,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-wi,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-wv,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-wy,LIHEAP-F-GUID-MODELPLAN,federal,agency guidance,inherited from federal
liheap,us-ak,LIHEAP-ST-09,state,plan attachment / policy manual,"the extracted plan ends at the 'Plan Attachments' list (matrix is an attachment, not in the PDF); clearinghouse lists a state policy manual: http://dpaweb.hss.state.ak.us/manuals/HAP/hap.htm"
liheap,us-ak,LIHEAP-ST-18,state,state policy manual,clearinghouse 'State LIHEAP Policy Manuals' link (read 2026-09-11): http://dpaweb.hss.state.ak.us/manuals/HAP/hap.htm; not taken (run note: manuals are a separate family)
liheap,us-al,LIHEAP-ST-09,state,plan attachment / policy manual,"the extracted plan ends at the 'Plan Attachments' list (matrix is an attachment, not in the PDF); clearinghouse lists a state policy manual: https://adeca.alabama.gov/wp-content/uploads/LIHEAP-Manual.pdf"
liheap,us-al,LIHEAP-ST-18,state,state policy manual,clearinghouse 'State LIHEAP Policy Manuals' link (read 2026-09-11): https://adeca.alabama.gov/wp-content/uploads/LIHEAP-Manual.pdf; not taken (run note: manuals are a separate family)
liheap,us-ar,LIHEAP-ST-09,state,plan attachment / policy manual,"the extracted plan ends at the 'Plan Attachments' list (matrix is an attachment, not in the PDF); clearinghouse lists a state policy manual: https://liheapch.acf.gov/sites/default/files/webfiles/docs/2026/manuals/AR_Manual_2026.pdf"
