program,jurisdiction,element,old_status,new_status,scope_version,citation_path,note
tax,us,F052,EXTRACTABLE,ALREADY-HELD,us/statute/2026-09-13-tax-statute-closure-31-title-26,us/statute/26/71,26 U.S.C. 71 and 215 are in the selected 2026-09-13 tax statute closure scope (also us/statute/26/215); the 09-11 check predates it
tax,us,F116,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/1-1,"26 CFR 1.1-1 to 1.2-2 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F117,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/21-1,"26 CFR 1.21-1 to 1.21-4 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F118,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/32-2,"26 CFR 1.32-2 to 1.32-3 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F119,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/36B-1,"26 CFR 1.36B-1 to 1.36B-6 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F120,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/61-1,"26 CFR 1.61-1 to 1.63-2 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F121,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/151-1,"26 CFR 1.151-1 to 1.152-4 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F122,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/162-1,"26 CFR 1.162-1 to 1.165-12 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F123,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/170A-1,"26 CFR 1.170A-1 to 1.170A-18 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F124,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/199A-1,"26 CFR 1.199A-1 to 1.199A-12 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F125,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/213-1,"26 CFR 1.213-1 to 1.221-1 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F126,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/401-k-1,"26 CFR 1.401-k-1 to 1.408A-10 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F127,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/1001-1,"26 CFR 1.1001-1 to 1.1212-1 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F129,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/1411-1,"26 CFR 1.1411-1 to 1.1411-10 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F130,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-07-24-1401-coordination-repair-title-26-part-1-r2026-09-13-closure-sections-consolidated,us/regulation/26/1/6012-1,"26 CFR 1.6012-1 to 1.6654-1 are in the selected consolidated part-1 scope (wave 3, 345 part-1 sections); the 09-11 check predates it"
tax,us,F131,EXTRACTABLE,ALREADY-HELD,us/regulation/2026-09-13-title-26-part-31,us/regulation/26/31/3101-1,26 CFR 31.3101-1 to 31.3402(r)-1 are in the selected wave-3 part-31 scope (359 rows)
tax,us,F132,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-26-part-301-closure-title-26-part-301,us/regulation/26/301/7701-18,new: 26 CFR 301.7701-18 (marital status definitions) extracted from the eCFR as of 2026-09-11; 1.7703-1 was already held in the consolidated part-1 scope
tax,us,F088,EXTRACTABLE,PRESENT,us/guidance/2026-09-15-irs-guidance-rev-proc,us/guidance/irs/rev-proc-2025-19,"new: Rev. Proc. 2025-19 (IRB 2025-23), 2026 HSA inflation-adjusted amounts"
tax,us,F133,EXTRACTABLE,PRESENT,us/guidance/2026-09-15-irs-guidance-rev-proc,us/guidance/irs/rev-proc-2024-40,"new: Rev. Proc. 2024-40 (IRB 2024-45), tax year 2025 inflation adjustments, 27 pages"
tax,us,F108,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2026/p15t,new: Publication 15-T 2026 HTML edition plus the 2025 PDF edition (us/form/irs/ty2025/p15t) from irs.gov/pub/irs-prior
tax,us,F141,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/f1040s1a,new: Schedule 1-A (2025) PDF; no about page or separate instructions product exists on irs.gov
tax,us,F144,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/f1040sc,new: Schedule C (2025) PDF and HTML instructions i1040sc
tax,us,F146,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/f1040se,new: Schedule E (2025) PDF and HTML instructions i1040se
tax,us,F151,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/f2441,new: Form 2441 (2025) PDF and HTML instructions i2441
tax,us,F152,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/f8863,new: Form 8863 (2025) PDF and HTML instructions i8863
tax,us,F153,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/f6251,new: Form 6251 (2025) PDF and HTML instructions i6251
tax,us,F154,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/f8959,"new: Forms 8959 and 8960 (2025) PDFs and HTML instructions i8959, i8960"
tax,us,F155,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/f8995,"new: Forms 8995 and 8995-A (2025) PDFs, HTML instructions i8995 and PDF instructions i8995a"
tax,us,F156,EXTRACTABLE,PRESENT,us/form/2026-09-15-irs-forms-ty2025,us/form/irs/ty2025/f8880,new: Form 8880 (2025) PDF
