jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,tanf-f-usc-601,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 601 Purpose of Title IV-A; no individual entitlement: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-602,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 602 Eligible States; State plan contents (602(a)(1)-(7)), certifications, public comment, 3-year renewal: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions"
us,tanf-f-usc-603,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 603 Grants to States (family assistance grant, contingency fund, healthy marriage/fatherhood, emergency funds): not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions"
us,tanf-f-usc-604,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 604 Use of grants (purposes, carry-over, transfers to CCDF/SSBG, administrative cap, IDAs, EBT restrictions 604(h)): not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions"
us,tanf-f-usc-605,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 605 Administrative provisions (quarterly payments, computable amounts): not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions"
us,tanf-f-usc-606,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 606 Federal loans for State welfare programs: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-607,federal,federal statute,EXTRACTABLE,,,partial,"42 U.S.C. 607 Mandatory work requirements: participation rates, hours, work activities (607(d)), penalties against individuals (607(e)), child-care exception: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions"
us,tanf-f-usc-608,federal,federal statute,EXTRACTABLE,,,partial,"42 U.S.C. 608 Prohibitions and requirements: minor child, IV-D cooperation, 60-month limit, teen parents, fugitive felons, fraud bar, aliens (608(f)), EBT (608(a)(12)): not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions"
us,tanf-f-usc-609,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 609 Penalties against States: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-610,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 610 Appeal of adverse decision: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-611,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 611 Data collection and reporting: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-611a,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 611a State required to provide certain information: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-612,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 612 Direct funding and administration by Indian tribes: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-613,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 613 Research, evaluations, and national studies: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions"
us,tanf-f-usc-614,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 614 Study by the Census Bureau: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-615,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 615 Waivers: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-616,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 616 Administration (Office of Family Assistance): not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-617,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 617 Limitation on Federal authority: not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-618,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 618 Funding for child care (CCDF mandatory and matching funds): not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
us,tanf-f-usc-619,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 619 Definitions (adult, minor child, fiscal year, Indian, State): not in any us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.10,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.10 (What does this part cover?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.20,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.20 (What is the purpose of the TANF program?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.30,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 260.30 (What definitions apply under the TANF regulations?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.31,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 260.31 (What does the term “assistance” mean?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.32,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.32 (What does the term “WtW cash assistance” mean?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.33,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.33 (When are expenditures on State or local tax credits allowable expenditures for TANF-related purposes?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.34,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.34 (When do the Charitable Choice provisions of TANF apply?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.35,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.35 (What other Federal laws apply to TANF?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.40,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.40 (When are these provisions in effect?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.50,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 260.50 (What is the purpose of this subpart?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.51,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 260.51 (What definitions apply to this subpart?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.52,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 260.52 (What are the basic provisions of the Family Violence Option (FVO)?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.54,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 260.54 (Do States have flexibility to grant good cause domestic violence waivers?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.55,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 260.55 (What are the additional requirements for Federal recognition of good cause domestic violence waivers?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.58,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.58 (What penalty relief is available to a State whose failure to meet the work participation rates is attributable to providing federally recognized good cause domestic violence waivers?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.59,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.59 (What penalty relief is available to a State that failed to comply with the five-year limit on Federal assistance because it provided federally recognized good cause domestic violence waivers?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.70,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.70 (What is the purpose of this subpart?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.71,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.71 (What definitions apply to this subpart?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.72,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.72 (What basic requirements must State demonstration components meet for the purpose of determining if inconsistencies exist with respect to work requirements or time limits?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.73,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.73 (How do existing welfare reform waivers affect the participation rates and work rules?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.74,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.74 (How do existing welfare reform waivers affect the application of the Federal time-limit provisions?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.75,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.75 (If a State is claiming a waiver inconsistency for work requirements or time limits, what must the Governor certify?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-260.76,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 260.76 (What special rules apply to States that are continuing evaluations of their waiver demonstrations?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.1,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.1 (What does this part cover?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.2,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.2 (What definitions apply to this part?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.10,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.10 (What work requirements must an individual meet?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.11,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.11 (Which recipients must have an assessment under TANF?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.12,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.12 (What is an individual responsibility plan?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.13,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.13 (May an individual be penalized for not following an individual responsibility plan?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.14,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.14 (What is the penalty if an individual refuses to engage in work?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.15,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.15 (Can a family be penalized if a parent refuses to work because he or she cannot find child care?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.16,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.16 (Does the imposition of a penalty affect an individual's work requirement?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.20,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.20 (How will we hold a State accountable for achieving the work objectives of TANF?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.21,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.21 (What overall work rate must a State meet?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.22,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.22 (How will we determine a State's overall work rate?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.23,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.23 (What two-parent work rate must a State meet?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.24,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.24 (How will we determine a State's two-parent work rate?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.25,federal,federal regulation,EXTRACTABLE,,,no,"45 CFR 261.25 (Do we count Tribal families in calculating the work participation rate?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
us,tanf-f-cfr-261.30,federal (state option),federal regulation,EXTRACTABLE,,,no,"45 CFR 261.30 (What are the work activities?): parts 260-265 not in the corpus; eCFR Versioner API serves title 45 (extract-ecfr, adapter fixed 2026-09-11 for gzip); inherited by all 51 jurisdictions"
