program,jurisdiction,element,family,scope_version,citation_path,note
medicaid,us-ia,M-ST-1396a-a17,state eligibility manual or codified eligibility regulation,,,"not found in held text (searched 1278 provisions in Iowa's program and pointer scopes plus 475 CMS SPA/plan rows); the CMS SPA index and approval-package scope is held (38 SPA packages, 475 body rows) but no pattern hit in it; the pages a state has not amended since CMS began posting packages (about"
medicaid,us-ak,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,,,"not found in held text (searched 191 provisions in Alaska's program and pointer scopes plus 356 CMS SPA/plan rows); the CMS SPA index and approval-package scope is held (29 SPA packages, 356 body rows) but no pattern hit in it; the pages a state has not amended since CMS began posting packages (abou"
medicaid,us-ar,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,2026-09-13-medicaid-state-plan,us-ar/policy/cms/medicaid-state-plan/spa/ar-13-29/approval-document/page-2,"weak (candidate) pattern matched; /poverty.level (aged|disabled|elderly)|100 ?(%|perc/: 'tate to disregard income between the net income standard of 100% FPL to a gross income of 142% FPL for mandatory poverty-level related children aged 6' (candidate, needs reading)"
medicaid,us-az,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,,,"not found in held text (searched 3969 provisions in Arizona's program and pointer scopes plus 341 CMS SPA/plan rows); the CMS SPA index and approval-package scope is held (27 SPA packages, 341 body rows) but no pattern hit in it; the pages a state has not amended since CMS began posting packages (ab"
medicaid,us-ca,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,2026-09-13-medicaid-state-plan,us-ca/policy/cms/medicaid-state-plan/spa/ca-20-0045/approval-document/page-32,"weak (candidate) pattern matched; /poverty.level (aged|disabled|elderly)|100 ?(%|perc/: 'e income methodologies are: Name of disregard: Description: Aged and Disabled FPL Expansion Disregard the amount of countable income over 100% FPL up' (candidate, needs reading)"
medicaid,us-co,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,,,"not found in held text (searched 310 provisions in Colorado's program and pointer scopes plus 341 CMS SPA/plan rows); the CMS SPA index and approval-package scope is held (30 SPA packages, 341 body rows) but no pattern hit in it; the pages a state has not amended since CMS began posting packages (ab"
medicaid,us-ct,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,,,"not found in held text (searched 1635 provisions in Connecticut's program and pointer scopes plus 804 CMS SPA/plan rows); the CMS SPA index and approval-package scope is held (56 SPA packages, 804 body rows) but no pattern hit in it; the pages a state has not amended since CMS began posting packages"
medicaid,us-dc,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,,,"not found in held text (searched 23 provisions in District of Columbia's program and pointer scopes plus 598 CMS SPA/plan rows); the CMS SPA index and approval-package scope is held (24 SPA packages, 598 body rows) but no pattern hit in it; the pages a state has not amended since CMS began posting p"
medicaid,us-de,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,,,"not found in held text (searched 146 provisions in Delaware's program and pointer scopes plus 373 CMS SPA/plan rows); the CMS SPA index and approval-package scope is held (33 SPA packages, 373 body rows) but no pattern hit in it; the pages a state has not amended since CMS began posting packages (ab"
medicaid,us-fl,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,,,"not found in held text (searched 1059 provisions in Florida's program and pointer scopes plus 306 CMS SPA/plan rows); the CMS SPA index and approval-package scope is held (19 SPA packages, 306 body rows) but no pattern hit in it; the pages a state has not amended since CMS began posting packages (ab"
medicaid,us-ga,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,,,"not found in held text (searched 1964 provisions in Georgia's program and pointer scopes plus 315 CMS SPA/plan rows); the CMS SPA index and approval-package scope is held (27 SPA packages, 315 body rows) but no pattern hit in it; the pages a state has not amended since CMS began posting packages (ab"
medicaid,us-hi,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,2026-09-13-medicaid-state-plan,us-hi/policy/cms/medicaid-state-plan/spa/hi-13-0007-mm1/approval-document/page-40,"weak (candidate) pattern matched; /poverty.level (aged|disabled|elderly)|100 ?(%|perc/: '0) (A) (2) (VI I) mandatory poverty+ Level related children aged 6-18 Chita 6-18 100% FPL 105% FPL Adult 19-64 1115. 200% FPL 208% FPL IM-CHIP childre' (candidate, needs reading)"
medicaid,us-ia,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,,,"not found in held text (searched 1278 provisions in Iowa's program and pointer scopes plus 475 CMS SPA/plan rows); the CMS SPA index and approval-package scope is held (38 SPA packages, 475 body rows) but no pattern hit in it; the pages a state has not amended since CMS began posting packages (about"
medicaid,us-id,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,2026-09-13-medicaid-state-plan,us-id/policy/cms/medicaid-state-plan/spa/id-19-0003/approval-document/page-8,"weak (candidate) pattern matched; /poverty.level (aged|disabled|elderly)|100 ?(%|perc/: 'eaterthanthanorEqualtoAmountPercentageUnitExplanationRemove 100% FPLolimit3.65 N AddRemove Visit RemoveService ServiceorItem:AccessingEmergencyTranspo' (candidate, needs reading)"
medicaid,us-il,M-ST-1396a-m,state eligibility manual or codified eligibility regulation,2026-05-27-il-cash-snap-medical-manual-r2026-07-15-self-contained,us-il/manual/dhs/csmm/152048/block-1,"weak (candidate) pattern matched; /poverty.level (aged|disabled|elderly)|100 ?(%|perc/: 'Family Health Spenddown Standard and less than or equal to 100% FPL Yes n/a 6I Health Benefits for Immigrant Seniors; age equal to or greater than 65' (candidate, needs reading)"
