program,jurisdiction,element,level,family,note
tanf,us,tanf-f-usc-614,federal,federal statute,42 U.S.C. 614 Study by the Census Bureau: not in any selected us/statute scope; uscode.house.gov publishes title 42 (the corpus already takes USC titles from it); inherited by all 51 jurisdictions
tanf,us-az,tanf-s02,federal_with_state_option,state regulation/manual,"single body mention only at us-az/manual/2026-07-17-faa5-recovery us-az/manual/des/faa5/ca-jobs-exempt-age/block-1 ('REVISION 07 (01/01/09 – 03/31/09) (01/01/09 – 03/31/09) All dependent children under the age of 18 are exempt from Jobs '), not enough for PRESENT; AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FA"
tanf,us-az,tanf-s05,state,state regulation/manual,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice; re-probed 2026-09-14: Cloudflare challenge to plain and impersonated clients)"
tanf,us-az,tanf-s11,federal_with_state_option,state regulation/manual,"single body mention only at us-az/manual/2026-07-17-faa5-recovery us-az/manual/des/faa5/na-categorical-eligibility/block-4 ('es of participants with certain disqualifications are not over the NA resource limit (See Disqualified Participants ) NO'), not enough for PRESENT; AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes"
tanf,us-az,tanf-s12,state,state regulation/manual,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice; re-probed 2026-09-14: Cloudflare challenge to plain and impersonated clients)"
tanf,us-az,tanf-s14,federal_with_state_option,state regulation/manual,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice; re-probed 2026-09-14: Cloudflare challenge to plain and impersonated clients)"
tanf,us-az,tanf-s18,federal_with_state_option,state regulation/manual,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice; re-probed 2026-09-14: Cloudflare challenge to plain and impersonated clients)"
tanf,us-az,tanf-s19,federal_with_state_option,state regulation/manual,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice; re-probed 2026-09-14: Cloudflare challenge to plain and impersonated clients)"
tanf,us-az,tanf-s20,federal_with_state_option,state regulation/manual,"single body mention only at us-az/manual/2026-07-17-faa5-recovery us-az/manual/des/faa5/ca-jobs-exempt-age-18-not-referred/block-1 ('e child turns age 18, allowing for NOAA when applicable. EXCEPTION A minor parent, age 18, who is the head of household '), not enough for PRESENT; AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapoli"
tanf,us-az,tanf-s23,state,state regulation/manual,"AZ DES FAA policy manual: 7 topic pages plus the 143-row FAA5 recovery scope are in the corpus; the manual (dbmefaapolicy.azdes.gov, FAA1-FAA6) is posted whole (queue 'done' by pointer to a slice; re-probed 2026-09-14: Cloudflare challenge to plain and impersonated clients)"
