program,jurisdiction,element,level,family,note
medicaid,us-wy,M-ST-1396a-m,state,state eligibility manual or codified eligibility regulation,no medicaid document taken for this state (searched 0 provisions in Wyoming's program and pointer scopes plus 237 CMS SPA/plan rows); publisher lists: manual_policy_page_html (107 of 107 not taken); eligibility_table_html (17 of 17 not taken); index https://ecom.wyo.gov/; also carried by Medicaid state plan attachment 2.2-A (groups covered) on medicaid.gov; the CMS SPA index and approval-package s
medicaid,us-wy,M-ST-1396p-c,state,state eligibility manual or codified eligibility regulation,"no medicaid document taken for this state (searched 0 provisions in Wyoming's program and pointer scopes plus 237 CMS SPA/plan rows); publisher lists: manual_policy_page_html (107 of 107 not taken); eligibility_table_html (17 of 17 not taken); index https://ecom.wyo.gov/; also carried by Medicaid state plan attachment 2.6-A supplements 8a-8c and 9-12 (post-eligibility, transfers, trusts, estate re"
medicaid,us-wy,M-ST-1396p-b,state,state eligibility manual or codified eligibility regulation,"no medicaid document taken for this state (searched 0 provisions in Wyoming's program and pointer scopes plus 237 CMS SPA/plan rows); publisher lists: manual_policy_page_html (107 of 107 not taken); eligibility_table_html (17 of 17 not taken); index https://ecom.wyo.gov/; also carried by Medicaid state plan attachment 2.6-A supplements 8a-8c and 9-12 (post-eligibility, transfers, trusts, estate re"
medicaid,us-wy,M-ST-1396r-5,state,state eligibility manual or codified eligibility regulation,"no medicaid document taken for this state (searched 0 provisions in Wyoming's program and pointer scopes plus 237 CMS SPA/plan rows); publisher lists: manual_policy_page_html (107 of 107 not taken); eligibility_table_html (17 of 17 not taken); index https://ecom.wyo.gov/; also carried by Medicaid state plan attachment 2.6-A supplements 8a-8c and 9-12 (post-eligibility, transfers, trusts, estate re"
medicaid,us-ak,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 191 provisions in Alaska's program and pointer scopes); publisher index lists untaken families: manual_topic_html (267 of 394 not taken); index http://dpaweb.hss.state.ak.us/manuals/adltc/adltc.htm
medicaid,us-id,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 357 provisions in Idaho's program and pointer scopes); publisher index lists untaken families: medicaid_eligibility_rule_pdf (2 of 2 not taken); other_title_16_rule_pdf (19 of 19 not taken); index https://adminrules.idaho.gov/current-rules/
medicaid,us-ky,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 502 provisions in Kentucky's program and pointer scopes); publisher index lists untaken families: other_program_volume_pdf (10 of 10 not taken); index https://www.chfs.ky.gov/agencies/dcbs/dfs/Pages/default.aspx
medicaid,us-mt,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 361 provisions in Montana's program and pointer scopes); publisher index lists untaken families: other_site_pdf (12 of 12 not taken); index https://dphhs.mt.gov/hcsd/Manuals/CMAPolicyManual
medicaid,us-nd,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 324 provisions in North Dakota's program and pointer scopes); publisher index lists untaken families: site_page_html (6 of 6 not taken); index https://www.nd.gov/dhs/policymanuals/51005/Default.htm
medicaid,us-ne,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 919 provisions in Nebraska's program and pointer scopes); publisher index lists untaken families: nac_477_chapter_pdf_already_in_corpus_chip_scope (1 of 1 not taken); index https://dhhs.ne.gov/Pages/Title-477.aspx
medicaid,us-nv,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 468 provisions in Nevada's program and pointer scopes); publisher index lists untaken families: manual_transmittal_letter_pdf (72 of 72 not taken); index https://www.dss.nv.gov/programs/medical/medical-assistance-manual/
medicaid,us-pa,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 922 provisions in Pennsylvania's program and pointer scopes); publisher index lists untaken families: forms_opsmemo_policy_clarification_catalog_html (4 of 4 not taken); index http://services.dpw.state.pa.us/oimpolicymanuals/ma/index.htm
medicaid,us-sc,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 50 provisions in South Carolina's program and pointer scopes); publisher index lists untaken families: miap_manual_docx (1 of 1 not taken); staff_training_or_forms_link (9 of 9 not taken); index https://www.scdhhs.gov/providers/manuals/sc-medicaid-policy-and-procedures-manual
medicaid,us-sd,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 46 provisions in South Dakota's program and pointer scopes); publisher index lists untaken families: nonmedicaid_chip_chapter (1 of 1 not taken); index https://sdlegislature.gov/Rules/Administrative/67:46
medicaid,us-va,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 1929 provisions in Virginia's program and pointer scopes); publisher index lists untaken families: other_pdf (1 of 1 not taken); index https://www.dmas.virginia.gov/for-applicants/eligibility-guidance/eligibility-manual/
medicaid,us-wi,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),not found in held text (searched 831 provisions in Wisconsin's program and pointer scopes); publisher index lists untaken families: meh_prior_release_pdf (24 of 24 not taken); badgercare-plus-handbook_prior_release_pdf (24 of 24 not taken); index https://www.dhs.wisconsin.gov/library/collection/p-10030
medicaid,us-wy,M-ST-1315,state,CMS-approved 1115 demonstration special terms and conditions (medicaid.gov),no medicaid document taken for this state (searched 0 provisions in Wyoming's program and pointer scopes); publisher lists: manual_policy_page_html (107 of 107 not taken); eligibility_table_html (17 of 17 not taken); index https://ecom.wyo.gov/
medicaid,us-wy,M-435-115,federal_with_state_option,state eligibility manual or codified eligibility regulation,no medicaid document taken for this state (searched 0 provisions in Wyoming's program and pointer scopes plus 237 CMS SPA/plan rows); publisher lists: manual_policy_page_html (107 of 107 not taken); eligibility_table_html (17 of 17 not taken); index https://ecom.wyo.gov/; also carried by Medicaid state plan attachment 2.2-A (groups covered) on medicaid.gov; the CMS SPA index and approval-package s
medicaid,us-wy,M-435-122,federal_with_state_option,state eligibility manual or codified eligibility regulation,no medicaid document taken for this state (searched 0 provisions in Wyoming's program and pointer scopes plus 237 CMS SPA/plan rows); publisher lists: manual_policy_page_html (107 of 107 not taken); eligibility_table_html (17 of 17 not taken); index https://ecom.wyo.gov/; also carried by Medicaid state plan attachment 2.2-A (groups covered) on medicaid.gov; the CMS SPA index and approval-package s
medicaid,us-wy,M-435-131,federal_with_state_option,state eligibility manual or codified eligibility regulation,no medicaid document taken for this state (searched 0 provisions in Wyoming's program and pointer scopes plus 237 CMS SPA/plan rows); publisher lists: manual_policy_page_html (107 of 107 not taken); eligibility_table_html (17 of 17 not taken); index https://ecom.wyo.gov/; also carried by Medicaid state plan attachment 2.2-A (groups covered) on medicaid.gov; the CMS SPA index and approval-package s
