jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,M-ST-1396a-a10,federal_only,federal statute (uscode.house.gov),PRESENT,2026-06-26-medicaid-title-42-r2026-07-15-self-contained-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal statute text held (42 U.S.C. 1396a(a)(10))
us-ak,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-al,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ar,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-az,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ca,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-co,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ct,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-dc,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-de,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-fl,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ga,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-hi,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ia,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-id,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-il,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-in,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ks,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ky,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-la,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-ma,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-md,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
us-me,M-ST-1396a-a10,federal_only,n/a (federal text only),INHERITED,,us/statute/42/1396a/a/10,partial (gov/hhs/medicaid/eligibility/categories/*),federal-only element (42 U.S.C. 1396a(a)(10)); carried at the us row and inherited
