jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,wic_usc_1786_a,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_b,federal_only,federal_statute,EXTRACTABLE,,,partial (definitions used by wic_category),42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_c,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_d,federal_with_state_option,federal_statute,EXTRACTABLE,,,"partial (categories, 185 percent, nutritional risk flag)",42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_e,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_f,federal_with_state_option,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_g,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_h,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_i,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_j,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_k,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_l,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_m,federal_with_state_option,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_n,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_o,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_p,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_q,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_r,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_usc_1786_s,federal_only,federal_statute,EXTRACTABLE,,,no,42 USC 1786 is in no selected scope (no us/statute/42/1786 row in any corpus JSONL); uscode.house.gov serves it and the corpus already holds 7 USC ch. 51 and 42 USC titles from the same publisher (us/statute/2026-07-19-rulespec-title-42-consolidated)
us,wic_cfr_246_1,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/1,no,"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 1311 chars"
us,wic_cfr_246_2,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/2,partial (definitions used by wic_category),"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 29759 chars"
us,wic_cfr_246_3,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/3,no,"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 6917 chars"
us,wic_cfr_246_4,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/4,no,"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 23621 chars"
us,wic_cfr_246_5,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/5,no,"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 8643 chars"
us,wic_cfr_246_6,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/6,no,"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 5177 chars"
us,wic_cfr_246_7,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/7,"partial (categorical, income 185% FPG, nutritional risk flag)","section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 67693 chars"
us,wic_cfr_246_8,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/8,no,"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 2773 chars"
us,wic_cfr_246_9,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/9,no,"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 8945 chars"
us,wic_cfr_246_10,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/10,"partial (food package value, CVB amounts)","section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 80304 chars"
us,wic_cfr_246_11,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/11,no,"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 8879 chars"
us,wic_cfr_246_12,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/12,no,"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 103671 chars"
us,wic_cfr_246_13,federal_regulation,federal_regulation,PRESENT,2026-07-13-recovery-r2026-07-17-dedup,us/regulation/7/246/13,no,"section row present in 2026-07-13-recovery-r2026-07-17-dedup, body 2883 chars"
