program,jurisdiction,element,family,scope_version,citation_path,note
tanf,us-ak,tanf-s02,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-01-ak-atap-regulations, guidance/2026-07-01-ak-atap-standards] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary"
tanf,us-ak,tanf-s16,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-01-ak-atap-regulations, guidance/2026-07-01-ak-atap-standards] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary"
tanf,us-ak,tanf-s18,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-01-ak-atap-regulations, guidance/2026-07-01-ak-atap-standards] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary"
tanf,us-ak,tanf-s22,state regulation/manual,,,"single body mention only at us-ak/regulation/2026-07-01-ak-atap-regulations us-ak/regulation/aac/title-7/chapter-45/7 AAC 45.165 ('described in 7 AAC 45.335 , changes in status from adult-included to child-only under 7 AAC 45.520 , or vice versa; (3) '), not enough for PRESENT; no body in the select"
tanf,us-ak,tanf-s28,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-01-ak-atap-regulations, guidance/2026-07-01-ak-atap-standards] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary"
tanf,us-ak,tanf-s29,state regulation/manual,,,"no body in the selected scope(s) [regulation/2026-07-01-ak-atap-regulations, guidance/2026-07-01-ak-atap-standards] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other vocabulary"
tanf,us-al,tanf-s02,state regulation/manual,,,"single body mention only at us-al/policy/2026-07-02-al-tanf-official-documents us-al/policy/dhr/tanf/state-plan/2024/page-2 ('ancial assistance to meet basic needs is available to a family with a dependent child under age 18 or under age 19 if s/'), not enough for PRESENT; no body in the selected sc"
tanf,us-al,tanf-s05,state regulation/manual,,,"single body mention only at us-al/policy/2026-07-02-al-tanf-official-documents us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-49 ('for a different purpose or service not included in the comprehensive need standard and which is not intended to meet cur'), not enough for P"
tanf,us-al,tanf-s07,state regulation/manual,,,"single body mention only at us-al/policy/2026-07-02-al-tanf-official-documents us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-8 ('.............................................................. 3 3007 Income Limit on Initial and Continuing Eligibility'), not enough for PR"
tanf,us-al,tanf-s10,state regulation/manual,,,"single body mention only at us-al/policy/2026-07-02-al-tanf-official-documents us-al/policy/dhr/public-assistance-payment-manual/appendix-n/section-2/page-22 ('ain gross earnings. From gross earnings subtract 20% work expense and child care expense. Subtract remainder and any une'), not enough for P"
tanf,us-al,tanf-s11,state regulation/manual,,,"single body mention only at us-al/policy/2026-07-02-al-tanf-official-documents us-al/policy/dhr/tanf/state-plan/2024/page-24 ('9 $632 10 $680 11 $728 12 $776 13 $824 14 $872 15 $920 16 $968 B. Resource Standards Not applicable effective October 1,'), not enough for PRESENT; no body in the selected s"
tanf,us-al,tanf-s12,state regulation/manual,,,"no body in the selected scope(s) [policy/2026-07-02-al-tanf-official-documents, regulation/2026-07-02-al-admin-code-660-2-2] matched the evidence patterns with a heading match or 2+ body matches; the scope is the publisher's whole rulebook per the queue row, so either the element lives under other v"
tanf,us-al,tanf-s18,state regulation/manual,,,"single body mention only at us-al/policy/2026-07-02-al-tanf-official-documents us-al/policy/dhr/tanf/state-plan/2024/page-5 ('quirements is precluded. 6. Is a single custodial parent caring for a child under the age of six (6) and appropriate chi'), not enough for PRESENT; no body in the selected sc"
tanf,us-al,tanf-s19,state regulation/manual,,,"single body mention only at us-al/policy/2026-07-02-al-tanf-official-documents us-al/policy/dhr/tanf/state-plan/2024/page-2 ('gency or crisis situation. Services include information and referral, case planning and case management, counseling, and'), not enough for PRESENT; no body in the selected sc"
tanf,us-al,tanf-s22,state regulation/manual,,,"single body mention only at us-al/regulation/2026-07-02-al-admin-code-660-2-2 us-al/regulation/alabama-administrative-code/660/2/2/page-8 ('specified relative living in the home can, in most circumstances, be payee only when there is no parent living in the ho'), not enough for PRESENT; no body in t"
tanf,us-al,tanf-s24,state regulation/manual,,,"single body mention only at us-al/policy/2026-07-02-al-tanf-official-documents us-al/policy/dhr/tanf/state-plan/2024/page-7 ('work activity when the person is making a serious attempt to recover. Domestic violence victims will be deferred from a '), not enough for PRESENT; no body in the selected sc"
tanf,us-ar,tanf-s02,state regulation/manual,,,"single body mention only at us-ar/policy/2026-07-02-ar-tea-official-documents us-ar/policy/dhs/tea/manual/2024/page-95 ('ls are exempt from the drug screening and testing requirements: 1. A dependent child under the age of 18. 2. A non-head-'), not enough for PRESENT; no body in the selected scope(s"
tanf,us-ar,tanf-s05,state regulation/manual,,,"single body mention only at us-ar/policy/2026-07-02-ar-tea-official-documents us-ar/policy/dhs/tea/manual/2024/page-176 ('the Overpayment Amount FA Manual 2/1/89 The policy, procedures, and need standards which were in effect at the time the '), not enough for PRESENT; no body in the selected scope("
tanf,us-ar,tanf-s10,state regulation/manual,,,"single body mention only at us-ar/policy/2026-07-02-ar-tea-official-documents us-ar/policy/dhs/tea/manual/2024/page-201 ('tate funds. Supportive Services Payment Transportation and other non-child care expenses paid by the agency to eligible '), not enough for PRESENT; no body in the selected scope("
tanf,us-ar,tanf-s13,state regulation/manual,,,"single body mention only at us-ar/policy/2026-07-02-ar-tea-official-documents us-ar/policy/dhs/tea/manual/2024/page-12 ('y the maximum grant for the family size. The number of months will be rounded up to the next higher number. (See TEA 213'), not enough for PRESENT; no body in the selected scope(s"
tanf,us-ar,tanf-s14,state regulation/manual,,,"single body mention only at us-ar/policy/2026-07-02-ar-tea-official-documents us-ar/policy/dhs/tea/manual/2024/page-6 ('e). The five- year timeframe will apply to cases in which the adult’s lifetime maximum period to receive TEA benefits ha'), not enough for PRESENT; no body in the selected scope(s)"
