program,jurisdiction,element,family,scope_version,citation_path,note
ssi,us-ak,SSI-ST-2,state statute/regulation,,,AS 47.25.430-.615 (APA statute) not inventoried; the queue took the DPA APA Manual only
ssi,us-al,SSI-ST-5,state regulation/manual,2026-06-30-al-admin-code-660-2-4,us-al/regulation/alabama-administrative-code/660/2/4/page-10,"chapter present at page granularity (62 pages, supplement dated 3/31/95) but the budgeting page was not individually located; open pages 10-24"
ssi,us-ct,SSI-ST-2,state statute/regulation,,,Conn. Gen. Stat. 17b-600 et seq. not inventoried; DSS UPM sections are the operating rule
ssi,us-dc,SSI-ST-2,state statute/regulation,,,DC Code 4-205.05 et seq. / DCMR not inventoried for the state-administered part
ssi,us-dc,SSI-ST-5,state regulation/manual,,,"F/S: the state-administered part (DHCF OSSP for adult foster care, DC Code 4-205.05) is not covered by the queue; SSA rules apply to the federally administered part"
ssi,us-de,SSI-ST-2,state statute/regulation,,,"us-de/regulation/2026-07-03-de-dssm-13000 (DSSM 13000, 25 page rows) is on disk but not in the draft selector; Del. Code title 31 not inventoried"
ssi,us-de,SSI-ST-5,state regulation/manual,,,F/S: the state-administered part is not covered by the queue; SSA rules apply to the federally administered part
ssi,us-ga,SSI-ST-2,state statute/regulation,,,O.C.G.A. 49-4-3 not inventoried; DFCS manual sections are the operating text
ssi,us-hi,SSI-ST-2,state statute/regulation,,,HRS 346-53 not inventoried
ssi,us-ia,SSI-ST-2,state statute/regulation,,,Iowa Code 249 / 441 IAC 51-52 not inventoried
ssi,us-ia,SSI-ST-5,state regulation/manual,,,"F/S: the state-administered part (441 IAC chapter 52, in-home health related care) is not covered by the queue; SSA rules apply to the federally administered part"
ssi,us-il,SSI-ST-2,state statute/regulation,,,305 ILCS 5/3 (AABD article) not inventoried; the IDHS manual is the operating text
ssi,us-in,SSI-ST-2,state statute/regulation,,,IC 12-10-6 not inventoried
ssi,us-ks,SSI-ST-2,state statute/regulation,,,us-ks/statute/2026-07-04-ks-sspp-statute (K.S.A. 39-972) is on disk but not in the draft selector
ssi,us-ks,SSI-ST-4,state regulation/manual,2026-07-04-ks-sspp-guidance,us-ks/guidance/khpa/policy-memo/2007-05-01/state-supplemental-payment-program/page-2,"the 2007 memo describes the SSPP design and payment; no current-year amount is in the corpus (K.S.A. 39-972 scope is on disk, unselected)"
ssi,us-la,SSI-ST-2,state statute/regulation,,,La. R.S. 46:1 et seq. not inventoried; LDH manual J-0000 is the operating text
ssi,us-ma,SSI-ST-4,state regulation/manual,2026-09-10-ssi-state-supplement,us-ma/regulation/106-cmr/327/327.330,327.330 Payment Standards names the method but the dollar table is in a DTA standards chart not taken; POMS SI BOS01415.930 (federal scope) carries older optional-payment text
ssi,us-mi,SSI-ST-2,state statute/regulation,,,MCL 400.1 et seq. not inventoried
ssi,us-mi,SSI-ST-5,state regulation/manual,,,F/S: the state-administered part is not covered by the queue; SSA rules apply to the federally administered part
ssi,us-mn,SSI-ST-2,state statute/regulation,,,Minn. Stat. 256D.33-.54 (MSA) not inventoried; DHS Combined Manual is the operating text
ssi,us-mn,SSI-ST-4,state regulation/manual,2026-05-27-mn-combined-manual-r2026-07-15-self-contained,us-mn/manual/dhs/combined-manual/current/page-914,page 915 of the PDF prints the $614.66 living-with-others MSA standard from the 09/2020 issue (stale); the 01/2026 revised MSA sections (us-mn/manual/2026-06-27-mn-dhs-msa-revised-sections-2026-01) are on disk but not selected
ssi,us-mo,SSI-ST-2,state statute/regulation,,,RSMo 208.030 (SAB) / 208.030-.040 (SNC) not inventoried; 13 CSR 40-2 has no SNC/SAB rule (queue)
ssi,us-mt,SSI-ST-2,state statute/regulation,,,MCA 53-2 not inventoried
ssi,us-nc,SSI-ST-2,state statute/regulation,,,G.S. 108A-40 et seq. not inventoried; NCDHHS SA manuals are the operating text
ssi,us-ne,SSI-ST-4,state regulation/manual,2026-09-10-ssi-state-supplement,us-ne/regulation/title-469/chapter-3/003.01.b,469 NAC 3-003.01(B) defines the AABD/SDP standard of need by living arrangement; the dollar table was not found in the chapter text
ssi,us-nh,SSI-ST-2,state statute/regulation,,,RSA 167 / He-W 600 rules not inventoried; DHHS Adult Assistance Manual is the operating text
ssi,us-nh,SSI-ST-4,state regulation/manual,2026-09-10-ssi-state-supplement,us-nh/manual/dhhs/aam/601-table-a-income-limits-aam/block-1,AAM 601 Table A Income Limits (standards of need) extracted as a 60-character stub (table not captured); 617 Grant Determination gives the method only
ssi,us-nj,SSI-ST-2,state statute/regulation,,,N.J.S.A. 44:7-85 et seq. not inventoried
ssi,us-nv,SSI-ST-2,state statute/regulation,,,NRS 422 not inventoried
ssi,us-oh,SSI-ST-4,state regulation/manual,2026-07-16-agency-5101-4-r2026-09-11-5101-1-5122-36-consolidated,us-oh/regulation/agency-5122/chapter-5122-36/rule-5122-36-05,"5122-36-05 sets the payment determination; the RSS payment level itself is set by OhioMHAS notice, not in the rule text"
ssi,us-ok,SSI-ST-4,state regulation/manual,2026-09-10-ssi-state-supplement,us-ok/regulation/oac/340/15/340-15-1-5,340:15-1-5: payment based on the SSP need standard in OKDHS Appendix C-1 Schedule VIII.A; Appendix C-1 not taken
ssi,us-or,SSI-ST-3,state regulation/manual,2026-07-16-or-programs-eligibility-notebook,us-or/manual/odhs/open/page-33,OPEN page 33: OSIPM-eligible individuals can receive OSIP cash special-needs payments; the OSIP eligibility rules (OAR 461-135) are cited by number only and not taken
ssi,us-pa,SSI-ST-2,state statute/regulation,,,62 P.S. 432.4 / 55 Pa. Code 297 not inventoried
ssi,us-pa,SSI-ST-5,state regulation/manual,,,"F/S: the state-administered part (domiciliary care, 55 Pa. Code 297) is not covered by the queue; SSA rules apply to the federally administered part"
ssi,us-ri,SSI-ST-2,state statute/regulation,,,R.I. Gen. Laws 40-6-27 not inventoried
ssi,us-ri,SSI-ST-5,state regulation/manual,,,F/S: the state-administered part is not covered by the queue; SSA rules apply to the federally administered part
ssi,us-sc,SSI-ST-2,state statute/regulation,,,S.C. Code 43-5-10 et seq. not inventoried; SCDHHS MPPM chapter 403 is the operating text
