program,jurisdiction,element,level,family,note
tax,us,F052,federal,federal statute,"26 U.S.C. 71, 215 not in any selected us/statute scope; carrying family: 26 U.S.C. USLM XML release points at https://uscode.house.gov/download/releasepoints/ (the 2026-08-03 title-26 union scope was built from one) list every section"
tax,us,F088,federal,revenue procedure,Rev. Proc. 2025-19 (IRB 2025-23) not taken; the batch-1 run note scanned only 2026 IRB issues; irs.gov/irb posts the Internal Revenue Bulletin issue
tax,us,F108,federal,IRS forms and instructions,Publication 15-T not in any selected scope; irs.gov/forms-pubs/about-publication-15-t posts it
tax,us,F116,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F117,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F118,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F119,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F120,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F121,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F122,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F123,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F124,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F125,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F126,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F127,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F129,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F130,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F131,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F132,federal,IRS regulation,eCFR title 26 chapter I (https://www.ecfr.gov/current/title-26) posts every part-1 and part-31 section; no selected us/regulation scope carries them
tax,us,F133,federal,revenue procedure,"Rev. Proc. 2024-40 (IRB 2024-45) not in any selected scope; irs.gov/irb posts the Internal Revenue Bulletin issue; the TY2025 amounts it set that OBBBA did not amend (e.g. EITC, AMT, 199A, kiddie tax) are otherwise only readable from the 2025 form instructions"
tax,us,F141,federal,IRS forms and instructions,product(s) ['f1040s1a'] not in the selected us/form scope; irs.gov/forms-instructions and /forms-pubs list the product (queue row us index_document_count 35; 19 taken)
