program,jurisdiction,element,old_status,new_status,scope_version,citation_path,note
ssi,us,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-ak,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-al,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-ar,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-az,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-ca,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-co,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-ct,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-dc,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-de,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-fl,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-ga,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-hi,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-ia,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-id,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-il,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-in,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-ks,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-ky,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-la,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-ma,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-md,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-me,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-mi,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
ssi,us-mn,SSI-F-CFR416-APPK,EXTRACTABLE,PRESENT,us/regulation/2026-09-15-title-20-part-416-appendix-k,us/regulation/20/416/subpart-K/appendix/block-1,"Appendix to Subpart K taken as an official document from the eCFR renderer API (22,885 characters; extract-ecfr --include-appendices rejects subpart-scoped identifiers); inherited by every state"
