program,jurisdiction,element,family,scope_version,citation_path,note
snap,us-al,snap_s04,state_manual_or_regulation,,,"searched 485 provisions of 5 SNAP scope(s) ['2026-09-14-snap-fy2026-state-transmittal', '2026-05-27-al-snap-poe-manual-r2026-07-15-self-contained', '2026-07-13-recovery', '2026-09-13-snap-et-state-plan', '2026-05-29-r2026-07-15-self-contained'] for regex '(heating|cooling|standard) utility (allowanc"
snap,us-al,snap_s15,state_table_or_transmittal,,,"searched 485 provisions of 5 SNAP scope(s) ['2026-09-14-snap-fy2026-state-transmittal', '2026-05-27-al-snap-poe-manual-r2026-07-15-self-contained', '2026-07-13-recovery', '2026-09-13-snap-et-state-plan', '2026-05-29-r2026-07-15-self-contained'] for regex 'standard deduction[^.]{0,160}\\$\\s?\\d{3}\\"
snap,us-al,snap_s16,state_table_or_transmittal,,,"searched 485 provisions of 5 SNAP scope(s) ['2026-09-14-snap-fy2026-state-transmittal', '2026-05-27-al-snap-poe-manual-r2026-07-15-self-contained', '2026-07-13-recovery', '2026-09-13-snap-et-state-plan', '2026-05-29-r2026-07-15-self-contained'] for regex '(maximum|cap(ped)?|limit(ed)?)[^.]{0,60}(exc"
snap,us-al,snap_s51,state_manual_or_regulation,,,"searched 485 provisions of 5 SNAP scope(s) ['2026-09-14-snap-fy2026-state-transmittal', '2026-05-27-al-snap-poe-manual-r2026-07-15-self-contained', '2026-07-13-recovery', '2026-09-13-snap-et-state-plan', '2026-05-29-r2026-07-15-self-contained'] for regex '(elderly|disabled)[^.]{0,150}\\b(60|sixty)\\"
snap,us-ak,snap_s03,state_manual_or_regulation,,,"searched 576 provisions of 2 SNAP scope(s) ['2026-07-16-ak-snap-manual', '2026-09-13-snap-et-state-plan'] for regex '(categorical(ly)?|BBCE|expanded|\\bECE\\b)[^.]{0,300}(resource|asset)s? (test|limit)s?[^.]{0,120}(not apply|waive|no |exempt|does not|not subject)|(no|without an?|not subject to|exemp"
snap,us-ak,snap_s07,state_manual_or_regulation,,,"searched 576 provisions of 2 SNAP scope(s) ['2026-07-16-ak-snap-manual', '2026-09-13-snap-et-state-plan'] for regex 'mandatory (standard )?utility|(SUA|HCSUA|standard utility allowance|utility (allowance|standard))s? (is|are) mandatory|must use the (standard utility|SUA|HCSUA|utility (standard|allow"
snap,us-ak,snap_s10,state_manual_or_regulation,,,"searched 576 provisions of 2 SNAP scope(s) ['2026-07-16-ak-snap-manual', '2026-09-13-snap-et-state-plan'] for regex 'standard medical (deduction|expense deduction|expense \\(SME\\)|expense standard|allowance)|\\bSMD\\b|\\bSMED\\b': no match; rulebook recorded published_current in the 2026-05/07 disc"
snap,us-ak,snap_s16,state_table_or_transmittal,,,"searched 576 provisions of 2 SNAP scope(s) ['2026-07-16-ak-snap-manual', '2026-09-13-snap-et-state-plan'] for regex '(maximum|cap(ped)?|limit(ed)?)[^.]{0,60}(excess )?shelter (deduction|expense|cost)s?[^.]{0,120}\\$\\s?\\d{3}|(excess )?shelter (deduction|expense|cost)s?[^.]{0,80}(cap|maximum|limit)["
snap,us-ak,snap_s32,state_plan,,,publisher index not inventoried family-by-family (state not in the #680 completion queue; original 2026-05/07 discovery recorded the manual only); 272.2 plans are not routinely published and FNS does not post them
snap,us-ak,snap_s33,state_manual_or_regulation,,,"searched 576 provisions of 2 SNAP scope(s) ['2026-07-16-ak-snap-manual', '2026-09-13-snap-et-state-plan'] for regex 'transitional benefits? (alternative|assistance|period|reporting|option)|\\bTBA\\b|transitional (SNAP|food|CalFresh|FoodShare|food stamp)|\\bTSNAP\\b|\\bTFA\\b': no match; rulebook rec"
snap,us-ak,snap_s37,state_statute,,,"searched 576 provisions of 2 SNAP scope(s) ['2026-07-16-ak-snap-manual', '2026-09-13-snap-et-state-plan'] for regex 'state.funded[^.]{0,200}(non.?citizen|immigrant|alien|legal permanent|CFAP|\\bFAP\\b)|(non.?citizen|immigrant|alien)s?[^.]{0,200}state.funded (food|nutrition|snap|benefit|supplemental)"
snap,us-ak,snap_s40,state_manual_or_regulation,,,"searched 576 provisions of 2 SNAP scope(s) ['2026-07-16-ak-snap-manual', '2026-09-13-snap-et-state-plan'] for regex 'restaurant meals? program|\\bRMP\\b|restaurant meals?[^.]{0,120}(elderly|disabled|homeless)': no match; rulebook recorded published_current in the 2026-05/07 discovery but the publish"
