jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,ccdf-f-usc-1,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 9857-9857a CCDBG Act short title and goals (sec. 658A): not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions
us,ccdf-f-usc-2,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 9858 Authorization of appropriations (sec. 658B): not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions
us,ccdf-f-usc-3,federal,federal statute,EXTRACTABLE,,,no,42 U.S.C. 9858a Lead agency designation (sec. 658D): not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions
us,ccdf-f-usc-4,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 9858c Application and plan (sec. 658E): plan contents incl. eligibility (658E(c)(2)), sliding fee scale, payment rates, health and safety, 12-month eligibility, priority, consumer education: not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions"
us,ccdf-f-usc-5,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 9858d-9858m Sections 658F-658O: limitations on State allotments, activities to improve quality (658G), background checks (658H), administration and enforcement (658I), payments, annual report and audits, Secretary's report, hotline, allotments (658O): not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions"
us,ccdf-f-usc-6,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 9858n Definitions (sec. 658P): child care certificate, eligible child, family child care provider, State median income, etc.: not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions"
us,ccdf-f-usc-7,federal,federal statute,EXTRACTABLE,,,no,"42 U.S.C. 9858o-9858r Sections 658Q-658T: severability, parental rights and responsibilities, miscellaneous, limitation: not in any us/statute scope; uscode.house.gov publishes title 42; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.1,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/1,no,body 3043 chars: '(a) The purposes of the CCDF are:  (1) To allow each State maximum flexibility in developi'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.2,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/2,no,body 11875 chars: 'For the purpose of this part and part 99:  The Act refers to the Child Care and Developmen'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.3,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/3,no,body 589 chars: '(a) Nothing in the Act or this part shall be construed to supersede or modify any provisio'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.10,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/10,no,"body 882 chars: 'The Lead Agency (which may be an appropriate collaborative agency), or a joint interagency'; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.11,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/11,no,body 2176 chars: '(a) The Lead Agency has broad authority to administer the program through other government'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.12,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/12,no,body 459 chars: 'The Lead Agency shall:  (a) Coordinate the provision of services for which assistance is p'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.13,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/13,no,body 1685 chars: 'The Lead Agency of a State or Territory shall apply for Child Care and Development funds b'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.14,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/14,no,"body 4119 chars: 'In the development of each Plan, as required pursuant to § 98.17, the Lead Agency shall:  '; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.15,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/15,no,body 8044 chars: '(a) The Lead Agency shall include the following assurances in its CCDF Plan:  (1) Upon app'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.16,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/16,no,body 14236 chars: 'A CCDF Plan shall contain the following:  (a) Specification of the Lead Agency whose dutie'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.17,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/17,no,"body 291 chars: '(a) For States, Territories, and Indian Tribes the Plan shall cover a period of three year'; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.18,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/18,no,body 2455 chars: '(a) Plan approval. The Assistant Secretary will approve a Plan that satisfies the requirem'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.19,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/19,no,body 4868 chars: '(a) Requests for relief. The Secretary may temporarily waive one or more of the requiremen'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.20,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/20,no,"body 2881 chars: '(a) To be eligible for services under § 98.50, a child shall, at the time of eligibility d'; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.21,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/21,no,body 12884 chars: '(a) A Lead Agency shall re-determine a child's eligibility for child care services no soon'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.30,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/30,no,body 3730 chars: '(a) The parent or parents of an eligible child who receives or is offered child care servi'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.31,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/31,no,body 413 chars: 'The Lead Agency shall have in effect procedures to ensure that providers of child care ser'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.32,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/32,no,body 654 chars: 'The State shall:  (a) Establish or designate a hotline or similar reporting process for pa'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.33,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/33,no,body 8737 chars: 'The Lead Agency shall:  (a) Certify that it will collect and disseminate consumer educatio'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.34,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/34,no,body 170 chars: 'Nothing under this part shall be construed or applied in any manner to infringe on or usur'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.40,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/40,no,body 1349 chars: '(a) Lead Agencies shall:  (1) Certify that they have in effect licensing requirements appl'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.41,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/41,no,"body 6158 chars: '(a) Each Lead Agency shall certify that there are in effect, within the State (or other ar'; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.42,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/42,no,body 3496 chars: '(a) Each Lead Agency shall certify in the Plan that procedures are in effect to ensure tha'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.43,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/43,no,"body 11474 chars: '(a)(1) States, Territories, and Tribes, through coordination of the Lead agency with other'; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.44,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/44,no,body 4532 chars: '(a) The Lead Agency must describe in the Plan the State or Territory framework for trainin'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.45,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/45,no,body 10948 chars: '(a) The Lead Agency shall certify that the payment rates for the provision of child care s'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.46,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/46,no,body 580 chars: '(a) Lead Agencies shall give priority for services provided under § 98.50(a) to:  (1) Chil'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.47,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/47,no,body 320 chars: 'If a Lead Agency does not have a registration process for child care providers who are unl'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.48,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/48,no,"body 1238 chars: '(a) Child care providers (other than family child care providers, as defined in § 98.2) th'; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.49,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/49,no,"body 1775 chars: '(a) In general, except as provided in paragraph (b) of this section, nothing in this part '; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.50,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/50,no,"body 2966 chars: '(a) Direct child care services shall be provided:  (1) To eligible children, as described '; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.51,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/51,no,body 1006 chars: 'Lead Agencies shall expend funds on activities that improve access to quality child care s'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.52,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/52,no,body 2358 chars: '(a) A Lead Agency may expend funds to establish or support a system of local or regional c'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.53,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/53,no,body 10748 chars: '(a) The Lead Agency must expend funds from each fiscal year's allotment on quality activit'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.54,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/54,no,body 3596 chars: '(a) Not more than five percent of the aggregate funds expended by the Lead Agency from eac'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.55,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/55,no,body 4524 chars: '(a) Federal matching funds are available for expenditures in a State based upon the formul'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.56,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/56,no,body 2610 chars: '(a) General. (1) Funds authorized under section 418 of the Social Security Act and section'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.57,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/57,no,body 556 chars: '(a) The Lead Agency and subgrantees shall keep on file cost allocation plans or indirect c'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.60,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/60,no,"body 5945 chars: '(a) The CCDF is available, subject to the availability of appropriations, in accordance wi'; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.61,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/61,no,"body 5219 chars: '(a) To the 50 States, the District of Columbia, and the Commonwealth of Puerto Rico an amo'; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.62,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/62,no,body 2904 chars: '(a) Each of the 50 States and the District of Columbia will be allocated from the funds ap'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.63,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/63,no,body 897 chars: '(a) To each of the 50 States and the District of Columbia there is allocated an amount equ'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.64,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/64,no,body 7024 chars: '(a) According to the provisions of this section State and Tribal Discretionary Funds are s'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.65,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/65,no,body 2699 chars: '(a) Each Lead Agency shall have an audit conducted after the close of each program period '; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.66,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/66,no,"body 2831 chars: '(a) Any expenditures not made in accordance with the Act, the implementing regulations, or'; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.67,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/67,no,body 706 chars: '(a) Lead Agencies shall expend and account for CCDF funds in accordance with their own law'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.68,federal (state option),federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/68,no,body 1945 chars: '(a) Lead Agencies are required to describe in their Plan effective internal controls that '; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.70,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/70,no,body 2680 chars: '(a) Quarterly Case-level Report—  (1) State and territorial Lead Agencies that receive ass'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.71,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/71,no,"body 4204 chars: '(a) At a minimum, a State or territorial Lead Agency's quarterly case-level report to the '; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.80,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/80,no,body 2779 chars: 'An Indian Tribe or tribal organization (as described in subpart G of these regulations) ma'; inherited by all 51 jurisdictions
us,ccdf-f-cfr-98.81,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/81,no,"body 4008 chars: '(a) In order to receive CCDF funds, a Tribal Lead Agency shall apply for funds pursuant to'; inherited by all 51 jurisdictions"
us,ccdf-f-cfr-98.82,federal,federal regulation,PRESENT,us/regulation/2026-09-11-title-45-part-98,us/regulation/45/98/82,no,body 397 chars: 'Tribal applicants shall coordinate the development of the Plan and the provision of servic'; inherited by all 51 jurisdictions
