jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,25 rows; bodies opened
us-ak,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-al,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-ar,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-az,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-ca,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-co,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-ct,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-dc,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-de,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-fl,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-ga,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
us-hi,MED-F-USC-426,federal,statute,PRESENT,2026-06-23-medicare-426-title-42-r2026-07-15-self-contained-r2026-07-17-dedup,us/statute/42/426,yes,inherited from federal
