jurisdiction,element,level,family,status,scope_version,citation_path,pe_modeled,evidence_note
us,snap_usc_2011,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2011,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 1387 chars"
us,snap_usc_2012,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2012,"partial (definitions: elderly/disabled, household via snap_unit, TFP)","section row present in 2026-07-22-rulespec-title-7-consolidated, body 20658 chars"
us,snap_usc_2012a,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2012a,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 365 chars"
us,snap_usc_2013,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2013,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 8513 chars"
us,snap_usc_2014,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2014,"partial (a,c,d,e,g,m,n: categorical eligibility, income tests, exclusions, deductions, resources)","section row present in 2026-07-22-rulespec-title-7-consolidated, body 48595 chars"
us,snap_usc_2014a,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2014a,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 344 chars"
us,snap_usc_2015,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2015,"partial (d,e,f,o: work requirements, students, immigrants, ABAWD; not IPV/quit/felony detail)","section row present in 2026-07-22-rulespec-title-7-consolidated, body 62672 chars"
us,snap_usc_2016,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2016,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 32575 chars"
us,snap_usc_2016a,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2016a,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 7510 chars"
us,snap_usc_2017,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2017,"partial (a,c: allotment, minimum benefit, proration)","section row present in 2026-07-22-rulespec-title-7-consolidated, body 10772 chars"
us,snap_usc_2018,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2018,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 14036 chars"
us,snap_usc_2019,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2019,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 2440 chars"
us,snap_usc_2020,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2020,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 51446 chars"
us,snap_usc_2021,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2021,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 13958 chars"
us,snap_usc_2022,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2022,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 8794 chars"
us,snap_usc_2023,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2023,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 6632 chars"
us,snap_usc_2024,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2024,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 6923 chars"
us,snap_usc_2025,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2025,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 64693 chars"
us,snap_usc_2026,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2026,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 40247 chars"
us,snap_usc_2026a,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2026a,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 4033 chars"
us,snap_usc_2027,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2027,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 7068 chars"
us,snap_usc_2028,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2028,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 11924 chars"
us,snap_usc_2029,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2029,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 5159 chars"
us,snap_usc_2031,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2031,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 25332 chars"
us,snap_usc_2032,federal_statute,federal_statute,PRESENT,2026-07-22-rulespec-title-7-consolidated,us/statute/7/2032,no,"section row present in 2026-07-22-rulespec-title-7-consolidated, body 2714 chars"
