program,jurisdiction,element,family,scope_version,citation_path,note
tax,us-al,F06,state department bulletins,2026-09-10-tax-state-forms-ty2025,us-al/form/ador/ty2025/form-40-instructions/document-1,"no 2026-labelled document; a TY2025/undated body mentions a 2026 figure: form body ('Form 40 Booklet, Alabama Individual Income Tax Return Instru', 217359 chars): 'ou can file a joint return for 2025. You can also file a joint return if your spouse died in 2026 before filing a 2025 return. For detai"
tax,us-ar,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-co,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-ct,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-dc,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-de,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-ga,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-hi,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-ia,F06,state department bulletins,2026-09-10-tax-state-forms-ty2025,us-ia/form/idr/ty2025/ia-1040-expanded-instructions/document-1,"no 2026-labelled document; a TY2025/undated body mentions a 2026 figure: form body ('2025 IA 1040 Expanded Instructions (printable) 1', 279939 chars): 'hedule 1, line 18. UPCOMING FOR 2026: Threshold for estimated tax payments: Starting with tax year 2026, the tax threshold for when an individual is"
tax,us-id,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-md,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-mn,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-mo,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-ms,F06,state department bulletins,,,no 2026-labelled body with amounts in any selected scope and the queue row records no 2026 product; whether the department has posted TY2026 figures (most publish them in the 2026 estimated-tax or withholding instructions) was not verified
tax,us-mt,F06,state department bulletins,2026-09-10-tax-state-forms-ty2025,us-mt/form/mtdor/ty2025/form-2-instructions/document-1,"no 2026-labelled document; a TY2025/undated body mentions a 2026 figure: form body ('Montana Individual Income Tax Return, Form 2 Instructions (2', 176088 chars): 'ustments to Federal Taxable Income” on page 15 for more information. Changes Beginning in Tax Year 2026 The following bills, passed duri"
